,id,document,labels
0,0,"제가 어렸을 때, 우리가 가장 걱정했던 재난은 핵 전쟁이었습니다. 그래서 우리 지하실에는 이렇게 음식 통조림들과 물로 채워진 원통들이 있었습니다. 핵 공격을 당했을 때, 아래층으로 내려가 쪼그려 앉아서 원통 안의 것을 꺼내 먹는 것이지요.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
1,1,"오늘날 세계적인 재앙의 최대 위험은 이렇게 생긴 것이 아닙니다. 그보다는, 이렇게 생겼습니다. 앞으로 몇 십년간 만약 무엇인가 천만명이 넘는 사람들을 죽인다면, 그것은 아마도 전쟁이 아니라 매우 전염성이 강한 바이러스일 겁니다. 미사일이 아니고 미생물일 것입니다. 그 이유 중의 하나는 우리가 막대한 양을 핵 억제력에 투자했다는 것입니다. 그러나 실질적으로 우리는 전염병을 멈출 시스템에 매우 적게 투자를 해왔습니다. 우리는 다음 전염병에 준비되지 않았습니다.","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
2,2,"에볼라의 경우를 살펴봅시다. 여러분 모두 에볼라에 대해 신문에서 읽어보셨을 겁니다. 매우 힘든 문제였습니다. 저는 소아마비 퇴치을 추적할 때 사용하는 사례 분석 도구를 통해 유심히 따라가며 살펴보았습니다. 무슨 일이 있었는지 여러분이 보시다시피, 효과가 없는 시스템이 문제가 아니라 문제는 우리에게 시스템 자체가 없었던 것이었습니다. 사실상, 꽤 명백하고, 중요한 빠져있는 단서들이 있습니다.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
3,3,"우리에게는 한 발자국 나아가서, 질병이 무엇이었는지 알 수 있었던, 그것이 얼마나 퍼졌는지 볼 수 있는 전염병학자들이 준비되지 않았었습니다. 발생현황이 신문에 보도되었습니다. 온라인에 올라오기 전에 굉장히 지체되어 있었고, 정보 또한 매우 부정확했었습니다. 우리에게는 준비된 의료팀이 없었습니다. 사람들을 어떻게 준비시켜야 하는지도 몰랐습니다. 국경없는 의사회에서는 봉사자들을 굉장히 잘 이끌었습니다.","[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
4,4,"그럼에도 우리는 이 국가들에 수천명의 봉사자들을 투입하는데 우리가 해야 했던 것보다 훨씬 뒤쳐져 있었습니다. 그리고 규모가 큰 전염병은 수십만명의 봉사자들이 필요할 것입니다. 치료방법을 찾아 볼 사람이 없었습니다. 진단을 내릴 사람도 없었습니다. 어떤 도구들을 사용해야 하는지 알아내야 할 사람도 없었습니다. 예를 들어, 우리는 생존자들의 피를 뽑아서 처리과정을 거쳐 그 혈장을 다시 사람들에게 주입해서 예방할 수도 있었습니다. 그러나 이것은 한번도 시도되지 않았죠.","[1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 0.0, 1.0, 1.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
5,5,"많은 것이 부족했습니다. 정말 국제적 실패였습니다. 세계보건기구는 전염병 감시를 위해 기금을 지원받지만 제가 언급한 일을 위한게 아닙니다. 자, 영화에서는 꽤 다르게 나타납니다. 일할 준비가 된 잘생긴 전염병학자들이 있습니다. 현장으로 들어가서, 사람들을 구하죠. 그러나 이것은 순전히 할리우드입니다.","[1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
6,6,"준비하는데 실패하게 되면 다음엔 에볼라보다 더욱 파괴적인 전염병이 생기게 될 겁니다. 올해의 에볼라 진행과정을 살펴봅시다. 약 만명의 사람들이 사망했고, 그리고 거의 대부분이 서아프리카의 세 나라의 사람들이었습니다. 에볼라가 더 퍼지지 않은 세 가지 이유가 있습니다. 첫번째는 의료 종사자들이 많은 영웅적인 일들을 해냈습니다. 전염병에 걸린 사람들을 찾아냈고, 더 많은 감염을 방지했습니다. 둘째는 바이러스의 성질입니다. 에볼라는 공기를 통해 퍼지지 않습니다. 당신이 전염되었을 때쯤이면, 대부분의 사람들은 너무 아픈 나머지 누워만 있습니다. 셋째, 에볼라는 도시 지역에 퍼지지 않았습니다. 그저 운이 좋았던 겁니다. 만약 많은 도시 지역에 퍼졌더라면 환자 숫자는 더욱 높았을 것입니다.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 1.0]"
7,7,"그러니 다음 번에는 운이 나쁠 수도 있습니다. 건강하다고 느끼지만 전염성이 있는 사람들이 비행기나 시장에서 가서 여러분이 바이러스에 감염될 수도 있습니다. 바이러스의 원천은 에볼라 같은 자연적인 전염병일 수도 있고, 어쩌면 생화학 테러일수도 있습니다. 즉, 정말로 상황을 천배는 더 안 좋게 만들 수 있는 요소들이 있다는 것입니다.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
8,8,"1918년에 발생한 스페인 독감처럼, 바이러스가 공기를 통해 퍼져나간 표본을 살펴봅시다. 이런 일들이 일어날 것입니다. 전세계로 굉장히, 정말 빠르게 퍼져나갈 것입니다. 이것으로 삼천만명이 넘는 인구가 전염병으로 죽는 걸 알 수 있습니다. 심각한 문제죠. 우리는 염려해야 할 필요가 있습니다.","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0]"
9,9,우리는 정말로 좋은 대응시스템을 설계할 수 있습니다. 우리가 얘기하는 모든 과학과 기술의 이익이 우리에게 있습니다. 우리에게는 사회로부터 정보를 얻고 정보를 전해 줄 수 있는 휴대폰이 있습니다. 우리에게는 사람들의 위치와 이동을 볼 수 있는 위성지도가 있습니다. 우리에겐 발전된 생물학이 있어서 병원균을 조사하기 위해 급격히 시간조정을 하여 이에 대응할 수 있는 백신과 약을 개발할 수 있습니다. 그래서 우리는 이 방법들을 사용할 수 있습니다. 그러나 이 방법들은 전체적으로 국제 보건 시스템에 적용이 되어야 합니다. 우리는 대비가 필요합니다.,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
